g_loss,d_loss
"[3230219.0, 2014.7623, 914299.6, 3688720.0, 6164370.5]",[62.5  0.5]
"[3661202.8, 2014.7623, 1004988.9, 4169834.2, 7029179.0]",[62.5  0.5]
"[3582960.8, 2014.7623, 933120.5, 4126762.0, 6883313.0]",[62.5  0.5]
"[3234229.0, 2014.7623, 913497.2, 3667965.5, 6199293.0]",[62.5  0.5]
"[3289653.0, 2014.7623, 935670.7, 3770026.5, 6259805.5]",[62.5  0.5]
"[3001411.0, 2014.7623, 897784.6, 3479634.5, 5627277.0]",[62.5  0.5]
"[3366404.0, 2014.7623, 888020.6, 3888328.2, 6444990.5]",[62.5  0.5]
"[3384362.0, 2014.7623, 923893.3, 3845373.2, 6511933.0]",[62.5  0.5]
"[3058045.0, 2014.7623, 879625.1, 3521973.0, 5791878.5]",[62.5  0.5]
"[3460212.5, 2014.7623, 938189.56, 3977458.5, 6618387.0]",[62.5  0.5]
"[3245953.5, 2014.7623, 905088.6, 3673842.8, 6240907.0]",[62.5  0.5]
"[3261948.0, 2014.7623, 871462.6, 3812156.0, 6189534.5]",[62.5  0.5]
"[3569408.0, 2014.7623, 1010775.94, 4015171.5, 6872072.0]",[62.5  0.5]
"[3585919.2, 2014.7623, 972541.0, 4083816.8, 6896699.0]",[62.5  0.5]
"[3412522.5, 2014.7623, 952654.9, 3841516.2, 6580896.5]",[62.5  0.5]
"[3399832.0, 2014.7623, 939927.7, 3907317.8, 6485520.5]",[62.5  0.5]
"[3203742.0, 2014.7623, 943070.8, 3651312.2, 6084749.5]",[62.5  0.5]
"[3378641.0, 2014.7623, 951060.44, 3855694.8, 6455374.5]",[62.5  0.5]
"[3176705.0, 2014.7623, 869284.56, 3649570.8, 6070154.0]",[62.5  0.5]
"[3293009.0, 2014.7623, 953173.25, 3772680.0, 6250837.0]",[62.5  0.5]
"[3216032.5, 2014.7623, 902048.25, 3655155.0, 6162898.0]",[62.5  0.5]
"[3258190.0, 2014.7623, 912041.4, 3787348.2, 6161236.5]",[62.5  0.5]
"[3441770.8, 2014.7623, 992969.0, 3923525.2, 6556067.5]",[62.5  0.5]
"[3063821.0, 2014.7623, 904887.2, 3480134.2, 5827708.5]",[62.5  0.5]
"[3471160.0, 2014.7623, 973308.1, 3970145.8, 6627072.5]",[62.5  0.5]
"[3785329.2, 2014.7623, 1023105.0, 4228920.5, 7365731.0]",[62.5  0.5]
"[3577177.0, 2014.7623, 939330.44, 4033670.0, 6950916.5]",[62.5  0.5]
"[3344423.2, 2014.7623, 981998.25, 3843520.5, 6322551.5]",[62.5  0.5]
"[3281866.2, 2014.7623, 960802.9, 3756223.2, 6222521.0]",[62.5  0.5]
"[3171430.0, 2014.7623, 916627.4, 3623759.8, 6031039.5]",[62.5  0.5]
"[3144721.8, 2014.7623, 912308.8, 3633173.5, 5936916.5]",[62.5  0.5]
"[3633459.8, 2014.7623, 1005454.5, 4181182.5, 6924888.5]",[62.5  0.5]
"[3537577.0, 2014.7623, 942196.9, 3991086.5, 6858632.5]",[62.5  0.5]
"[3123029.5, 2014.7623, 883925.56, 3573259.2, 5952906.0]",[62.5  0.5]
g_loss,d_loss
"[3112262.5, 2014.3654, 952788.25, 3591194.8, 5830218.0]",[84.43593     0.24222222]
"[4409388.0, 2014.7623, 1536910.1, 5339185.0, 7821856.5]",[62.5  0.5]
"[3661171.0, 2014.7623, 1192448.2, 4167219.8, 6844227.5]",[62.5  0.5]
"[3813608.0, 2014.7623, 1165982.4, 4420253.5, 7125783.0]",[62.5  0.5]
"[3644142.5, 2014.7623, 1167081.5, 4240814.0, 6739239.5]",[62.5  0.5]
"[3919915.2, 2014.7623, 1163574.1, 4604453.0, 7298350.0]",[62.5  0.5]
"[3564281.5, 2014.7623, 1029255.7, 4080213.0, 6771462.0]",[62.5  0.5]
"[3679692.0, 2014.7623, 1100549.4, 4338687.5, 6826396.0]",[62.5  0.5]
"[3216217.5, 2014.7623, 974357.4, 3800968.2, 5945392.5]",[62.5  0.5]
"[4045222.5, 2014.7623, 1133119.8, 4604489.0, 7746458.5]",[62.5  0.5]
"[3814466.0, 2014.7623, 1083870.6, 4354501.5, 7276507.0]",[62.5  0.5]
"[3667468.5, 2014.7623, 1064227.8, 4128772.5, 7031887.5]",[62.5  0.5]
